"date","hits","geo","time","keyword","gprop","category"
2018-08-26,74,"DE","today+5-y","Aldi Nord","web",0
2018-09-02,66,"DE","today+5-y","Aldi Nord","web",0
2018-09-09,64,"DE","today+5-y","Aldi Nord","web",0
2018-09-16,59,"DE","today+5-y","Aldi Nord","web",0
2018-09-23,66,"DE","today+5-y","Aldi Nord","web",0
2018-09-30,69,"DE","today+5-y","Aldi Nord","web",0
2018-10-07,73,"DE","today+5-y","Aldi Nord","web",0
2018-10-14,66,"DE","today+5-y","Aldi Nord","web",0
2018-10-21,74,"DE","today+5-y","Aldi Nord","web",0
2018-10-28,80,"DE","today+5-y","Aldi Nord","web",0
2018-11-04,75,"DE","today+5-y","Aldi Nord","web",0
2018-11-11,79,"DE","today+5-y","Aldi Nord","web",0
2018-11-18,82,"DE","today+5-y","Aldi Nord","web",0
2018-11-25,76,"DE","today+5-y","Aldi Nord","web",0
2018-12-02,75,"DE","today+5-y","Aldi Nord","web",0
2018-12-09,80,"DE","today+5-y","Aldi Nord","web",0
2018-12-16,75,"DE","today+5-y","Aldi Nord","web",0
2018-12-23,71,"DE","today+5-y","Aldi Nord","web",0
2018-12-30,70,"DE","today+5-y","Aldi Nord","web",0
2019-01-06,59,"DE","today+5-y","Aldi Nord","web",0
2019-01-13,59,"DE","today+5-y","Aldi Nord","web",0
2019-01-20,61,"DE","today+5-y","Aldi Nord","web",0
2019-01-27,62,"DE","today+5-y","Aldi Nord","web",0
2019-02-03,60,"DE","today+5-y","Aldi Nord","web",0
2019-02-10,63,"DE","today+5-y","Aldi Nord","web",0
2019-02-17,55,"DE","today+5-y","Aldi Nord","web",0
2019-02-24,61,"DE","today+5-y","Aldi Nord","web",0
2019-03-03,64,"DE","today+5-y","Aldi Nord","web",0
2019-03-10,62,"DE","today+5-y","Aldi Nord","web",0
2019-03-17,66,"DE","today+5-y","Aldi Nord","web",0
